,age,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,gender_code,region_category_code,membership_category_code,year,joined_through_referral_code,preferred_offer_types_code,medium_of_operation_code,internet_option_code,used_special_discount_code,offer_application_preference_code,past_complaint_code,complaint_status_code,feedback_code
0,18,17,300.63,53005.25,781.75,0,2,3,4,1,1,0,2,1,1,0,1,4
1,32,16,306.34,12838.38,641.22,0,0,4,4,0,1,2,1,1,0,1,2,5
2,44,14,516.16,21027.0,500.69,0,1,2,5,2,1,2,2,0,1,1,3,3
3,37,11,53.27,25239.56,567.66,1,0,2,5,2,1,2,1,0,1,1,4,3
4,31,20,113.13,24483.66,663.06,0,0,2,4,1,0,3,1,0,1,1,2,3
5,13,23,433.62,13884.77,722.27,1,0,1,5,1,1,0,2,1,0,1,4,0
6,21,10,55.38,8982.5,756.21,1,1,1,6,2,1,2,1,1,0,1,3,0
8,44,15,191.07,18362.31,637.155,1,2,5,5,1,2,3,0,1,0,1,3,1
9,45,10,97.31,19244.16,706.23,0,1,2,5,1,1,0,2,0,1,1,0,1
10,25,14,570.23,35119.93,699.7,0,2,0,5,2,1,1,2,1,1,0,1,2
11,60,14,55.53,41672.02,798.12,1,0,1,5,1,1,3,2,1,0,0,1,7
12,11,13,41.09,44007.18,608.26,1,1,2,6,1,0,3,0,1,0,1,4,1
13,34,10,89.76,21318.19,452.6777337706138,1,0,0,5,2,1,3,0,0,1,0,1,2
14,40,20,100.59,14842.62,297.09546754122766,1,0,4,5,1,2,0,0,0,1,0,1,3
15,16,50,30.14,18792.31,141.5132013118415,0,1,0,4,0,0,3,0,1,0,1,4,7
16,57,5,333.34,47241.32,437.74160065592076,0,0,2,5,1,2,0,2,1,1,1,3,7
17,11,12,275.13,29072.86,733.97,1,1,5,4,2,1,0,2,1,0,0,1,1
18,39,9,241.74,33170.16,551.11,1,1,2,4,1,0,3,0,1,0,1,0,0
19,45,14,31.15,66982.61,164.80076897738957,1,0,4,5,1,2,0,1,1,0,1,4,4
20,33,15,49.86,44289.97,703.96,1,2,2,6,1,2,2,2,1,0,0,1,1
21,30,21,30.37,49404.86,630.61,1,2,2,5,2,1,3,1,1,0,1,0,3
22,19,15,483.03,52702.67,389.3564431980522,0,1,3,4,1,1,0,1,0,1,1,0,8
23,48,12,72.52,15860.41,529.03,1,1,0,4,2,2,3,0,0,1,0,1,0
24,43,17,108.3,21725.57,225.00442762412771,1,0,2,6,1,0,2,0,0,1,0,1,3
25,29,18,300.38,12069.06,777.31,0,1,5,5,1,2,2,0,0,1,0,1,7
26,10,1,100.65,8515.5,757.7,1,0,1,6,2,0,0,2,1,0,0,1,0
27,20,22,272.31,42743.44,687.26,0,2,2,5,1,1,2,2,1,0,0,1,2
28,61,17,-936.7448179192272,29156.1,710.38,0,2,5,4,0,1,0,0,1,0,1,0,0
29,10,4,127.37,15719.24,634.88,1,1,1,5,1,0,0,2,1,0,1,4,3
30,17,20,162.93,31100.95,633.05,0,0,2,6,0,2,2,0,0,1,1,2,7
31,60,18,498.09,48125.94,734.565,1,1,2,5,2,2,2,0,0,1,0,1,2
33,60,11,537.25,1773.49,711.76,1,0,1,4,2,1,1,0,1,1,0,1,2
34,12,8,198.26,26105.24,721.36,1,0,4,6,1,0,2,2,1,0,0,1,1
35,52,9,119.47,10101.48,158.54776452544024,1,1,5,6,1,1,3,2,1,0,0,1,3
36,30,15,68.19,21111.9,574.01,1,0,0,5,2,1,3,1,1,1,1,3,1
38,26,20,194.85,5912.06,568.34,0,1,2,4,2,2,2,2,1,0,0,1,7
39,49,8,706.36,19062.25,780.58,0,2,3,4,2,0,1,0,1,0,0,1,2
40,24,15,210.44,35531.98,745.49,1,0,4,5,0,2,2,0,1,0,0,1,2
41,22,4,-930.2078443168743,8415.63,650.44,1,1,2,4,2,2,0,2,0,1,1,3,7
42,33,12,394.26,34697.85,752.3,0,1,4,4,0,0,2,2,1,0,1,0,3
43,17,6,348.07,94100.72,824.95,1,0,3,6,1,1,2,2,1,1,0,1,8
44,36,2,691.09,17989.46,787.84,1,2,5,5,2,1,0,1,0,1,1,2,0
45,12,8,33.09,55607.35,750.73,1,0,4,4,1,2,2,1,1,0,0,1,8
46,58,11,30.78,48080.03,713.62,0,2,1,4,1,2,3,1,1,0,0,1,2
47,41,13,282.87,27528.03,743.8,1,1,3,5,1,2,1,0,1,0,0,1,3
48,30,20,100.42,86433.91,719.93,1,0,3,6,0,1,3,2,0,1,1,4,6
49,50,18,154.7,24197.4,737.575,1,0,4,6,1,0,2,2,0,1,1,2,7
50,23,10,65.25,5136.08,755.22,1,2,1,6,2,2,0,2,0,1,0,1,1
51,38,8,324.75,28535.13,770.31,1,1,1,4,1,1,3,1,1,1,1,2,1
52,20,16,237.39,25000.09,704.4,1,0,5,6,2,2,2,0,0,1,0,1,3
53,35,20,148.24,30984.56,729.04,0,2,1,5,1,0,3,0,1,0,0,1,1
54,43,16,773.83,9091.94,700.4,1,1,4,4,2,2,1,2,0,1,0,1,2
55,32,13,117.68,19822.82,893.7923510823571,1,0,5,4,2,2,0,0,1,0,0,1,7
56,40,18,251.06,63416.63,1087.184702164714,0,1,3,6,0,1,3,0,0,1,1,3,4
57,40,50,46.57,24045.93,709.73,0,1,5,4,2,0,3,2,0,1,0,1,2
58,48,12,539.49,49270.76,503.95,0,1,2,4,0,0,3,2,1,0,0,1,7
59,35,12,34.48,48679.07,779.59,1,1,4,6,1,1,3,1,1,0,0,1,2
60,28,9,-615.344318961141,13131.05,820.91,1,2,1,4,2,1,3,0,1,1,0,1,5
62,40,3,33.82,39735.58,784.32,1,1,4,4,0,1,2,0,1,0,1,0,7
63,18,20,156.06,4783.23,597.87,0,0,0,5,2,0,3,1,1,0,1,0,7
65,35,4,157.03,22975.33,548.1,1,1,2,4,2,2,3,1,0,1,0,1,3
66,43,11,227.23,29602.15,663.63,1,1,2,6,1,0,0,1,0,1,1,4,2
67,28,4,457.33,20883.28,-549.3574976761337,1,2,0,4,1,1,2,1,0,1,0,1,7
68,53,6,228.02,46353.54,302.005898539957,1,1,3,4,1,2,0,0,1,0,1,0,0
